!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:24:01 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.20123126500e+006, +4.11662162060e+003, -8.92739662236e+001
+1.29872554700e+006, +3.80720698869e+003, -8.92232594660e+001
+1.40413265500e+006, +3.52095041970e+003, -8.91746506869e+001
+1.51809481100e+006, +3.24350319084e+003, -8.91019561679e+001
+1.64130635900e+006, +3.00331096431e+003, -8.90691741180e+001
+1.77451799800e+006, +2.78024061126e+003, -8.89466120022e+001
+1.91854135300e+006, +2.57313225154e+003, -8.89442738897e+001
+2.07425392700e+006, +2.38006217431e+003, -8.88413896223e+001
+2.24260443800e+006, +2.20212030915e+003, -8.87446587986e+001
+2.42461860600e+006, +2.03647528802e+003, -8.86803225545e+001
+2.62140540000e+006, +1.88367640621e+003, -8.85805003389e+001
+2.83416379600e+006, +1.74238033711e+003, -8.84689290131e+001
+3.06419008000e+006, +1.61084343700e+003, -8.83697959752e+001
+3.31288574700e+006, +1.48918471339e+003, -8.82405429884e+001
+3.58176604200e+006, +1.37691208592e+003, -8.81161760701e+001
+3.87246918900e+006, +1.27364626837e+003, -8.79673138669e+001
+4.18676637100e+006, +1.17752881029e+003, -8.78229514012e+001
+4.52657252900e+006, +1.08878344665e+003, -8.76567818675e+001
+4.89395802000e+006, +1.00697114762e+003, -8.74565685626e+001
+5.29116123700e+006, +9.31427044465e+002, -8.72675177959e+001
+5.72060224500e+006, +8.61268243183e+002, -8.70387236356e+001
+6.18489752600e+006, +7.96115639049e+002, -8.68048738961e+001
+6.68687592200e+006, +7.36775298177e+002, -8.65559134567e+001
+7.22959586700e+006, +6.81467971437e+002, -8.62972731132e+001
+7.81636402500e+006, +6.30441753541e+002, -8.60063320047e+001
+8.45075543700e+006, +5.83088596150e+002, -8.57036267694e+001
+9.13663529700e+006, +5.36744153808e+002, -8.54524372059e+001
+9.87818251100e+006, +4.97284122834e+002, -8.51089331269e+001
+1.06799151480e+007, +4.60402303896e+002, -8.47495549275e+001
+1.15467179760e+007, +4.26186703579e+002, -8.43428757279e+001
+1.24838722200e+007, +3.93562067836e+002, -8.39095804682e+001
+1.34970877370e+007, +3.64542986837e+002, -8.34694417665e+001
+1.45925378090e+007, +3.37486010697e+002, -8.29886036834e+001
+1.57768967550e+007, +3.04855089210e+002, -8.20116634651e+001
+1.70573805920e+007, +2.84623551985e+002, -8.15200002738e+001
+1.84417910050e+007, +2.64617659148e+002, -8.09309015841e+001
+1.99385628790e+007, +2.45577275868e+002, -8.02658184531e+001
+2.15568156880e+007, +2.27754159562e+002, -7.95347243401e+001
+2.33064090650e+007, +2.11185242705e+002, -7.87504647425e+001
+2.51980028670e+007, +1.95811014296e+002, -7.79182490221e+001
+2.72431221260e+007, +1.81588560911e+002, -7.70112241424e+001
+2.94542272690e+007, +1.68420068026e+002, -7.60471781888e+001
+3.18447900350e+007, +1.55603690434e+002, -7.49187400518e+001
+3.44293755580e+007, +1.44588538546e+002, -7.38415666421e+001
+3.72237311020e+007, +1.34403953913e+002, -7.26838891950e+001
+4.02448820150e+007, +1.24989218220e+002, -7.14537201173e+001
+4.35112354530e+007, +1.16324184704e+002, -7.01465316404e+001
+4.70426925320e+007, +1.08347252115e+002, -6.87511374978e+001
+5.08607695830e+007, +1.01031420506e+002, -6.72857160235e+001
+5.49887292450e+007, +9.43506700282e+001, -6.57301438416e+001
+5.94517221980e+007, +8.82531071548e+001, -6.40270698781e+001
