!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:03 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+4.02448820150e+007, +1.10943767024e+001, -7.98185448274e+001
+4.35112354530e+007, +1.02701868488e+001, -8.14157257220e+001
+4.70426925320e+007, +9.46912536876e+000, -8.30824890533e+001
+5.08607695830e+007, +8.69290767091e+000, -8.47950200511e+001
+5.49887292450e+007, +7.95154080411e+000, -8.63194302726e+001
+5.94517221980e+007, +7.26049464932e+000, -8.74855897134e+001
+6.42769403980e+007, +6.47930382511e+000, -8.76276570193e+001
+6.94937827570e+007, +5.89844991718e+000, -8.82109800060e+001
+7.51340342580e+007, +5.35289263247e+000, -8.84979636271e+001
+8.12320596160e+007, +4.83446590657e+000, -8.85805552217e+001
+8.78250126540e+007, +4.74404287436e+000, -8.88085729390e+001
+9.49530626730e+007, +4.22434771065e+000, -8.86503414417e+001
+1.02659639190e+008, +3.73960663887e+000, -8.85142802757e+001
+1.10991696549e+008, +3.28050567635e+000, -8.83342998122e+001
+1.20000000000e+008, +2.85200644221e+000, -8.81210166610e+001
END
