!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:23:12 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+5.50451507000e+005, +9.48295120219e+002, -8.80340828457e+001
+5.95127229000e+005, +8.78578481737e+002, -8.80386958276e+001
+6.43428920000e+005, +8.14000475281e+002, -8.80466032390e+001
+6.95650871000e+005, +7.54186829386e+002, -8.80541121547e+001
+7.52111258000e+005, +6.98746560463e+002, -8.80594494059e+001
+8.13154081000e+005, +6.47406688237e+002, -8.80686889968e+001
+8.79151259000e+005, +5.99847577318e+002, -8.80773483644e+001
+9.50504896000e+005, +5.55788820456e+002, -8.80880572001e+001
+1.02764973500e+006, +5.14981022178e+002, -8.80950991909e+001
+1.11105580000e+006, +4.77131309579e+002, -8.81078680611e+001
+1.20123126500e+006, +4.42105811255e+002, -8.81182234420e+001
+1.29872554700e+006, +4.09614565551e+002, -8.81320005661e+001
+1.40413265500e+006, +3.79550769224e+002, -8.81517022263e+001
+1.51809481100e+006, +3.51668951557e+002, -8.81620529807e+001
+1.64130635900e+006, +3.25816467335e+002, -8.81855023305e+001
+1.77451799800e+006, +3.01858893323e+002, -8.82060332931e+001
+1.91854135300e+006, +2.79691611623e+002, -8.82237379263e+001
+2.07425392700e+006, +2.59110370960e+002, -8.82567086231e+001
+2.24260443800e+006, +2.40048314500e+002, -8.82818218057e+001
+2.42461860600e+006, +2.22363999407e+002, -8.83119557029e+001
+2.62140540000e+006, +2.06040456589e+002, -8.83368878632e+001
+2.83416379600e+006, +1.90830462313e+002, -8.83679389846e+001
+3.06419008000e+006, +1.76760526621e+002, -8.83994679394e+001
+3.31288574700e+006, +1.63717640511e+002, -8.84330736125e+001
+3.58176604200e+006, +1.51639759052e+002, -8.84651780085e+001
+3.87246918900e+006, +1.40424741229e+002, -8.84967332238e+001
+4.18676637100e+006, +1.30046615383e+002, -8.85352246961e+001
+4.52657252900e+006, +1.20429928473e+002, -8.85613719719e+001
+4.89395802000e+006, +1.11518304910e+002, -8.85996374489e+001
+5.29116123700e+006, +1.03263660173e+002, -8.86280681502e+001
+5.72060224500e+006, +9.56015682406e+001, -8.86573297538e+001
+6.18489752600e+006, +8.85111069979e+001, -8.86883186293e+001
+6.68687592200e+006, +8.19447237395e+001, -8.87157490750e+001
+7.22959586700e+006, +7.58542228618e+001, -8.87421665524e+001
+7.81636402500e+006, +7.02140238082e+001, -8.87671848654e+001
+8.45075543700e+006, +6.49920313325e+001, -8.87938126873e+001
+9.13663529700e+006, +6.01541468676e+001, -8.88129821863e+001
+9.87818251100e+006, +5.56728971640e+001, -8.88344818548e+001
+1.06799151480e+007, +5.15178429082e+001, -8.88447092554e+001
+1.15467179760e+007, +4.76716901202e+001, -8.88612017927e+001
+1.24838722200e+007, +4.41070721673e+001, -8.88718663658e+001
+1.34970877370e+007, +4.08067549013e+001, -8.88870068570e+001
+1.45925378090e+007, +3.77471351081e+001, -8.88930980043e+001
+1.57768967550e+007, +3.48977329875e+001, -8.88412452834e+001
+1.70573805920e+007, +3.22820457177e+001, -8.88375368852e+001
+1.84417910050e+007, +2.98537938153e+001, -8.88315866633e+001
+1.99385628790e+007, +2.76069774832e+001, -8.88218094834e+001
+2.15568156880e+007, +2.55255464434e+001, -8.88094715387e+001
+2.33064090650e+007, +2.35971467956e+001, -8.87918179526e+001
+2.51980028670e+007, +2.18083991967e+001, -8.87713061470e+001
+2.72431221260e+007, +2.01531762938e+001, -8.87462849265e+001
+2.94542272690e+007, +1.86185063284e+001, -8.87184607384e+001
+3.18447900350e+007, +1.71962029457e+001, -8.86942983842e+001
+3.44293755580e+007, +1.58779269867e+001, -8.86611929428e+001
+3.72237311020e+007, +1.46546715183e+001, -8.86192641503e+001
+4.02448820150e+007, +1.35171816508e+001, -8.85806210579e+001
+4.35112354530e+007, +1.24630687277e+001, -8.85383585448e+001
+4.70426925320e+007, +1.14821973030e+001, -8.84823352248e+001
+5.08607695830e+007, +1.05708117120e+001, -8.84284000604e+001
+5.49887292450e+007, +9.72321884787e+000, -8.83653770947e+001
+5.94517221980e+007, +8.93279392025e+000, -8.83024132778e+001
+6.42769403980e+007, +8.19687655875e+000, -8.82255093758e+001
+6.94937827570e+007, +7.51007668020e+000, -8.81229071087e+001
+7.51340342580e+007, +6.86658076640e+000, -8.80100104791e+001
+8.12320596160e+007, +6.26465805571e+000, -8.78355106027e+001
+8.78250126540e+007, +5.70308095279e+000, -8.76863450285e+001
+9.49530626730e+007, +5.17938029762e+000, -8.74534979311e+001
+1.02659639190e+008, +4.68785367061e+000, -8.71884342176e+001
+1.10991696549e+008, +4.22473949413e+000, -8.69123706673e+001
+1.20000000000e+008, +3.79080226368e+000, -8.65540268902e+001
END
