!Keysight Technologies,E4990A,MY54303088,A.03.06
!Date: Mon Jul 10 16:41:40 2023

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+4.70909609000e+005, +7.35278262907e+001, -6.42695455613e-001
+5.09129555000e+005, +7.36302118947e+001, -1.33618326573e+000
+5.50451507000e+005, +7.36958908120e+001, -2.05521346752e+000
+5.95127229000e+005, +7.37575705669e+001, -2.80586290894e+000
+6.43428920000e+005, +7.38158284307e+001, -3.59570222960e+000
+6.95650871000e+005, +7.38434253187e+001, -4.41984200367e+000
+7.52111258000e+005, +7.46615603892e+001, -5.37378055306e+000
+8.13154081000e+005, +7.46271693438e+001, -6.25987381979e+000
+8.79151259000e+005, +7.45264275714e+001, -7.17920810862e+000
+9.50504896000e+005, +7.44055449010e+001, -8.14647839251e+000
+1.02764973500e+006, +7.42322808005e+001, -9.14750220330e+000
+1.11105580000e+006, +7.40061552198e+001, -1.02001272633e+001
+1.20123126500e+006, +7.37463009354e+001, -1.12984341764e+001
+1.29872554700e+006, +7.34156923022e+001, -1.24451932218e+001
+1.40413265500e+006, +7.30191386440e+001, -1.36421257468e+001
+1.51809481100e+006, +7.28585514480e+001, -1.64400854178e+001
+1.64130635900e+006, +7.22444163072e+001, -1.76723419746e+001
+1.77451799800e+006, +7.15748519353e+001, -1.89765103577e+001
+1.91854135300e+006, +7.08499417292e+001, -2.03230572228e+001
+2.07425392700e+006, +7.00579041253e+001, -2.17412917120e+001
+2.24260443800e+006, +6.92030512386e+001, -2.32216404187e+001
+2.42461860600e+006, +6.82551582112e+001, -2.47644938560e+001
+2.62140540000e+006, +6.73901218523e+001, -2.63687293814e+001
+2.83416379600e+006, +6.63104787772e+001, -2.80946878851e+001
+3.06419008000e+006, +6.50653827382e+001, -2.97860190366e+001
+3.31288574700e+006, +6.38412095625e+001, -3.16412280600e+001
+3.58176604200e+006, +6.24765867295e+001, -3.35546725370e+001
+3.87246918900e+006, +6.09876313915e+001, -3.55180900021e+001
+4.18676637100e+006, +5.93653830203e+001, -3.75189174270e+001
+4.52657252900e+006, +5.76158755992e+001, -3.95929776811e+001
+4.89395802000e+006, +5.57919868157e+001, -4.16764172999e+001
+5.29116123700e+006, +5.38634802447e+001, -4.37816049341e+001
+5.72060224500e+006, +5.18549059858e+001, -4.58891361705e+001
+6.18489752600e+006, +4.97319470635e+001, -4.80695831926e+001
+6.68687592200e+006, +4.75866567409e+001, -5.01619135185e+001
+7.22959586700e+006, +4.54196229451e+001, -5.22034895969e+001
+7.81636402500e+006, +4.32430533269e+001, -5.41772974019e+001
+8.45075543700e+006, +4.11042600794e+001, -5.60511015821e+001
+9.13663529700e+006, +3.90201723349e+001, -5.78948794294e+001
+9.87818251100e+006, +3.69899174767e+001, -5.96747525319e+001
+1.06799151480e+007, +3.50316218729e+001, -6.14117028233e+001
+1.15467179760e+007, +3.31680149011e+001, -6.30900722248e+001
+1.24838722200e+007, +3.16510609119e+001, -6.49825429713e+001
+1.34970877370e+007, +2.99872022936e+001, -6.65702427543e+001
+1.45925378090e+007, +2.84329333160e+001, -6.81862748215e+001
+1.57768967550e+007, +2.95336307336e+001, -7.14731900373e+001
+1.70573805920e+007, +2.75843933568e+001, -7.26880945879e+001
+1.84417910050e+007, +2.57419321084e+001, -7.38673817986e+001
+1.99385628790e+007, +2.40043584468e+001, -7.49917945880e+001
+2.15568156880e+007, +2.23637913068e+001, -7.60888771180e+001
+2.33064090650e+007, +2.08178365924e+001, -7.71487100188e+001
+2.51980028670e+007, +1.93632268899e+001, -7.82241865368e+001
+2.72431221260e+007, +1.79786197614e+001, -7.92090337875e+001
+2.94542272690e+007, +1.66766508387e+001, -8.02343590945e+001
+3.18447900350e+007, +1.55718786502e+001, -8.17210093035e+001
+3.44293755580e+007, +1.43824291749e+001, -8.28013600064e+001
+3.72237311020e+007, +1.32468000430e+001, -8.39162142422e+001
+4.02448820150e+007, +1.21667861583e+001, -8.50699281771e+001
+4.35112354530e+007, +1.11372263494e+001, -8.61869999101e+001
+4.70426925320e+007, +1.01679663219e+001, -8.71502189999e+001
+5.08607695830e+007, +9.26531903950e+000, -8.78898522076e+001
+5.49887292450e+007, +8.42796102651e+000, -8.83582370921e+001
+5.94517221980e+007, +7.65317123229e+000, -8.85984122544e+001
+6.42769403980e+007, +7.07845138489e+000, -8.88105129311e+001
+6.94937827570e+007, +6.38921275536e+000, -8.87818629848e+001
+7.51340342580e+007, +5.74140097747e+000, -8.87394961285e+001
+8.12320596160e+007, +5.13574864834e+000, -8.86010898052e+001
+8.78250126540e+007, +4.16733110987e+000, -8.81335748019e+001
+9.49530626730e+007, +3.68558328136e+000, -8.79577037517e+001
+1.02659639190e+008, +3.23118681075e+000, -8.77647309192e+001
+1.10991696549e+008, +2.80161136791e+000, -8.74474172861e+001
+1.20000000000e+008, +2.39705990197e+000, -8.69935370479e+001
END
